g1,b1,g1,b1,exp_val
0.1,0.1,1.5707963267948966,0.7853981633974483,8.184871857196619
0.1,0.1,1.5707963267948966,0.9599310885968813,8.135394422674604
0.1,0.1,1.5707963267948966,1.1344640137963142,8.10547096681978
0.1,0.1,1.5707963267948966,1.308996938995747,8.113757878683206
0.1,0.1,1.5707963267948966,1.4835298641951802,8.14884495304051
0.1,0.1,1.5707963267948966,1.658062789394613,8.187044593535015
0.1,0.1,1.5707963267948966,1.832595714594046,8.215489809045666
0.1,0.1,1.5707963267948966,2.007128639793479,8.229879474718995
0.1,0.1,1.5707963267948966,2.181661564992912,8.221603127173267
0.1,0.1,1.5707963267948966,2.356194490192345,8.184871857196653
0.1,0.1,1.9198621771937625,0.7853981633974483,8.813847056331362
0.1,0.1,1.9198621771937625,0.9599310885968813,8.928507083592727
0.1,0.1,1.9198621771937625,1.1344640137963142,8.82688461014921
0.1,0.1,1.9198621771937625,1.308996938995747,8.560102531676822
0.1,0.1,1.9198621771937625,1.4835298641951802,8.248635921056932
0.1,0.1,1.9198621771937625,1.658062789394613,8.03314151531523
0.1,0.1,1.9198621771937625,1.832595714594046,8.017037476670321
0.1,0.1,1.9198621771937625,2.007128639793479,8.213840236036066
0.1,0.1,1.9198621771937625,2.181661564992912,8.530958113208069
0.1,0.1,1.9198621771937625,2.356194490192345,8.813847056331388
0.1,0.1,2.2689280275926285,0.7853981633974483,8.50920813838978
0.1,0.1,2.2689280275926285,0.9599310885968813,8.4942414627964
0.1,0.1,2.2689280275926285,1.1344640137963142,8.435359389591927
0.1,0.1,2.2689280275926285,1.308996938995747,8.362015171834237
0.1,0.1,2.2689280275926285,1.4835298641951802,8.308212758595051
0.1,0.1,2.2689280275926285,1.658062789394613,8.29711920163971
0.1,0.1,2.2689280275926285,1.832595714594046,8.333539302726718
0.1,0.1,2.2689280275926285,2.007128639793479,8.402305439369492
0.1,0.1,2.2689280275926285,2.181661564992912,8.472281164092099
0.1,0.1,2.2689280275926285,2.356194490192345,8.509208138389814
0.1,0.1,2.617993877991494,0.7853981633974483,8.169086568644966
0.1,0.1,2.617993877991494,0.9599310885968813,7.984378582320057
0.1,0.1,2.617993877991494,1.1344640137963142,7.93907148066471
0.1,0.1,2.617993877991494,1.308996938995747,8.054558582856838
0.1,0.1,2.617993877991494,1.4835298641951802,8.27792752105503
0.1,0.1,2.617993877991494,1.658062789394613,8.504860294946482
0.1,0.1,2.617993877991494,1.832595714594046,8.628114636985213
0.1,0.1,2.617993877991494,2.007128639793479,8.589452264723187
0.1,0.1,2.617993877991494,2.181661564992912,8.407826598960465
0.1,0.1,2.617993877991494,2.356194490192345,8.169086568644996
0.1,0.1,2.9670597283903604,0.7853981633974483,8.168205840313957
