g,b,exp_val
0.0,0.0,5.25
0.0,0.03173325912716963,5.249999999999998
0.0,0.06346651825433926,5.2499999999999964
0.0,0.0951997773815089,5.249999999999999
0.0,0.12693303650867852,5.249999999999999
0.0,0.15866629563584814,5.25
0.0,0.1903995547630178,5.250000000000002
0.0,0.2221328138901874,5.250000000000002
0.0,0.25386607301735703,5.250000000000001
0.0,0.28559933214452665,5.249999999999999
0.0,0.3173325912716963,5.250000000000003
0.0,0.3490658503988659,5.250000000000001
0.0,0.3807991095260356,5.249999999999994
0.0,0.4125323686532052,5.250000000000001
0.0,0.4442656277803748,5.25
0.0,0.47599888690754444,5.250000000000001
0.0,0.5077321460347141,5.250000000000002
0.0,0.5394654051618837,5.25
0.0,0.5711986642890533,5.250000000000005
0.0,0.6029319234162229,5.25
0.0,0.6346651825433925,5.249999999999999
0.0,0.6663984416705622,5.25
0.0,0.6981317007977318,5.2499999999999964
0.0,0.7298649599249014,5.249999999999999
0.0,0.7615982190520711,5.250000000000001
0.0,0.7933314781792408,5.250000000000001
0.0,0.8250647373064104,5.25
0.0,0.85679799643358,5.249999999999995
0.0,0.8885312555607496,5.250000000000005
0.0,0.9202645146879193,5.25
0.0,0.9519977738150889,5.249999999999997
0.0,0.9837310329422585,5.250000000000001
0.0,1.0154642920694281,5.25
0.0,1.0471975511965979,5.25
0.0,1.0789308103237674,5.25
0.0,1.110664069450937,5.249999999999999
0.0,1.1423973285781066,5.249999999999999
0.0,1.1741305877052763,5.25
0.0,1.2058638468324459,5.25
0.0,1.2375971059596156,5.249999999999999
0.0,1.269330365086785,5.25
0.0,1.3010636242139548,5.249999999999998
0.0,1.3327968833411243,5.249999999999999
0.0,1.364530142468294,5.25
0.0,1.3962634015954636,5.25
0.0,1.4279966607226333,5.249999999999999
0.0,1.4597299198498028,5.249999999999999
0.0,1.4914631789769726,5.25
0.0,1.5231964381041423,5.25
0.0,1.5549296972313118,5.25
0.0,1.5866629563584815,5.25
0.0,1.618396215485651,5.25
0.0,1.6501294746128208,5.250000000000001
0.0,1.6818627337399903,5.25
0.0,1.71359599286716,5.249999999999999
0.0,1.7453292519943295,5.249999999999999
0.0,1.7770625111214993,5.250000000000001
0.0,1.8087957702486688,5.249999999999999
0.0,1.8405290293758385,5.25
0.0,1.872262288503008,5.249999999999999
0.0,1.9039955476301778,5.25
0.0,1.9357288067573473,5.25
0.0,1.967462065884517,5.25
0.0,1.9991953250116865,5.25
0.0,2.0309285841388562,5.249999999999999
0.0,2.0626618432660258,5.250000000000001
0.0,2.0943951023931957,5.250000000000003
0.0,2.126128361520365,5.25
0.0,2.1578616206475347,5.250000000000001
0.0,2.1895948797747042,5.249999999999999
0.0,2.221328138901874,5.249999999999998
0.0,2.2530613980290437,5.249999999999998
0.0,2.284794657156213,5.249999999999995
0.0,2.3165279162833827,5.25
0.0,2.3482611754105527,5.249999999999999
0.0,2.379994434537722,5.250000000000001
0.0,2.4117276936648917,5.249999999999999
0.0,2.443460952792061,5.250000000000002
0.0,2.475194211919231,5.25
0.0,2.5069274710464007,5.249999999999999
0.0,2.53866073017357,5.25
0.0,2.57039398930074,5.250000000000004
0.0,2.6021272484279097,5.25
0.0,2.633860507555079,5.250000000000002
0.0,2.6655937666822487,5.25
0.0,2.6973270258094186,5.2500000000000036
0.0,2.729060284936588,5.25
0.0,2.7607935440637577,5.249999999999994
0.0,2.792526803190927,5.250000000000002
0.0,2.824260062318097,5.25
0.0,2.8559933214452666,5.249999999999999
0.0,2.887726580572436,5.250000000000002
0.0,2.9194598396996057,5.2500000000000036
0.0,2.9511930988267756,5.25
0.0,2.982926357953945,5.25
0.0,3.0146596170811146,5.25
0.0,3.0463928762082846,5.249999999999996
0.0,3.078126135335454,5.249999999999994
0.0,3.1098593944626236,5.249999999999998
0.0,3.141592653589793,5.25
0.06346651825433926,0.0,5.25
0.06346651825433926,0.03173325912716963,5.2849291218852334
0.06346651825433926,0.06346651825433926,5.319126944343157
0.06346651825433926,0.0951997773815089,5.352043211608807
0.06346651825433926,0.12693303650867852,5.383148288620099
0.06346651825433926,0.15866629563584814,5.411941683044051
0.06346651825433926,0.1903995547630178,5.4379600983859575
0.06346651825433926,0.2221328138901874,5.460784888603251
0.06346651825433926,0.25386607301735703,5.480048794277133
0.06346651825433926,0.28559933214452665,5.4954418519541095
0.06346651825433926,0.3173325912716963,5.506716381573941
0.06346651825433926,0.3490658503988659,5.513690971734543
