g,b,exp_val
0.0,0.0,0.75
0.0,0.015866629563584814,0.75
0.0,0.03173325912716963,0.75
0.0,0.04759988869075445,0.75
0.0,0.06346651825433926,0.75
0.0,0.07933314781792407,0.75
0.0,0.0951997773815089,0.75
0.0,0.1110664069450937,0.75
0.0,0.12693303650867852,0.75
0.0,0.14279966607226333,0.75
0.0,0.15866629563584814,0.75
0.0,0.17453292519943295,0.75
0.0,0.1903995547630178,0.75
0.0,0.2062661843266026,0.75
0.0,0.2221328138901874,0.75
0.0,0.23799944345377222,0.75
0.0,0.25386607301735703,0.75
0.0,0.26973270258094184,0.75
0.0,0.28559933214452665,0.75
0.0,0.30146596170811146,0.75
0.0,0.3173325912716963,0.75
0.0,0.3331992208352811,0.75
0.0,0.3490658503988659,0.75
0.0,0.3649324799624507,0.75
0.0,0.3807991095260356,0.75
0.0,0.3966657390896204,0.75
0.0,0.4125323686532052,0.75
0.0,0.42839899821679,0.75
0.0,0.4442656277803748,0.75
0.0,0.4601322573439596,0.75
0.0,0.47599888690754444,0.75
0.0,0.49186551647112925,0.75
0.0,0.5077321460347141,0.75
0.0,0.5235987755982989,0.75
0.0,0.5394654051618837,0.75
0.0,0.5553320347254685,0.75
0.0,0.5711986642890533,0.75
0.0,0.5870652938526382,0.75
0.0,0.6029319234162229,0.75
0.0,0.6187985529798078,0.75
0.0,0.6346651825433925,0.75
0.0,0.6505318121069774,0.75
0.0,0.6663984416705622,0.75
0.0,0.682265071234147,0.75
0.0,0.6981317007977318,0.75
0.0,0.7139983303613167,0.75
0.0,0.7298649599249014,0.75
0.0,0.7457315894884863,0.75
0.0,0.7615982190520711,0.75
0.0,0.7774648486156559,0.75
0.0,0.7933314781792408,0.75
0.0,0.8091981077428255,0.75
0.0,0.8250647373064104,0.75
0.0,0.8409313668699951,0.75
0.0,0.85679799643358,0.75
0.0,0.8726646259971648,0.75
0.0,0.8885312555607496,0.75
0.0,0.9043978851243344,0.75
0.0,0.9202645146879193,0.75
0.0,0.936131144251504,0.75
0.0,0.9519977738150889,0.75
0.0,0.9678644033786736,0.75
0.0,0.9837310329422585,0.75
0.0,0.9995976625058433,0.75
0.0,1.0154642920694281,0.75
0.0,1.0313309216330129,0.75
0.0,1.0471975511965979,0.75
0.0,1.0630641807601826,0.75
0.0,1.0789308103237674,0.75
0.0,1.0947974398873521,0.75
0.0,1.110664069450937,0.75
0.0,1.1265306990145219,0.75
0.0,1.1423973285781066,0.75
0.0,1.1582639581416914,0.75
0.0,1.1741305877052763,0.75
0.0,1.189997217268861,0.75
0.0,1.2058638468324459,0.75
0.0,1.2217304763960306,0.75
0.0,1.2375971059596156,0.75
0.0,1.2534637355232003,0.75
0.0,1.269330365086785,0.75
0.0,1.28519699465037,0.75
0.0,1.3010636242139548,0.75
0.0,1.3169302537775396,0.75
0.0,1.3327968833411243,0.75
0.0,1.3486635129047093,0.75
0.0,1.364530142468294,0.75
0.0,1.3803967720318788,0.75
0.0,1.3962634015954636,0.75
0.0,1.4121300311590486,0.75
0.0,1.4279966607226333,0.75
0.0,1.443863290286218,0.75
0.0,1.4597299198498028,0.75
0.0,1.4755965494133878,0.75
0.0,1.4914631789769726,0.75
0.0,1.5073298085405573,0.75
0.0,1.5231964381041423,0.75
0.0,1.539063067667727,0.75
0.0,1.5549296972313118,0.75
0.0,1.5707963267948966,0.75
0.007933314781792407,0.0,0.75
0.007933314781792407,0.015866629563584814,0.7496854954187374
0.007933314781792407,0.03173325912716963,0.7493721622087605
0.007933314781792407,0.04759988869075445,0.7490612620523166
0.007933314781792407,0.06346651825433926,0.7487540468346054
0.007933314781792407,0.07933314781792407,0.7484517536028792
0.007933314781792407,0.0951997773815089,0.7481555995852895
0.007933314781792407,0.1110664069450937,0.7478667772895393
0.007933314781792407,0.12693303650867852,0.7475864497010757
0.007933314781792407,0.14279966607226333,0.7473157456001575
0.007933314781792407,0.15866629563584814,0.7470557550166558
0.007933314781792407,0.17453292519943295,0.7468075248408884
0.007933314781792407,0.1903995547630178,0.7465720546081616
0.007933314781792407,0.2062661843266026,0.7463502924739951
0.007933314781792407,0.2221328138901874,0.7461431313962333
0.007933314781792407,0.23799944345377222,0.7459514055394204
0.007933314781792407,0.25386607301735703,0.7457758869159133
0.007933314781792407,0.26973270258094184,0.7456172822772607
0.007933314781792407,0.28559933214452665,0.7454762302683636
0.007933314781792407,0.30146596170811146,0.7453532988558789
0.007933314781792407,0.3173325912716963,0.7452489830412166
0.007933314781792407,0.3331992208352811,0.7451637028673446
0.007933314781792407,0.3490658503988659,0.7450978017274239
0.007933314781792407,0.3649324799624507,0.7450515449820858
0.007933314781792407,0.3807991095260356,0.7450251188909179
0.007933314781792407,0.3966657390896204,0.745018629862462
0.007933314781792407,0.4125323686532052,0.7450321040257455
0.007933314781792407,0.42839899821679,0.7450654871250688
0.007933314781792407,0.4442656277803748,0.7451186447384731
0.007933314781792407,0.4601322573439596,0.7451913628190108
0.007933314781792407,0.47599888690754444,0.7452833485566369
0.007933314781792407,0.49186551647112925,0.745394231557252
0.007933314781792407,0.5077321460347141,0.7455235653341478
0.007933314781792407,0.5235987755982989,0.7456708291058526
0.007933314781792407,0.5394654051618837,0.7458354298931336
0.007933314781792407,0.5553320347254685,0.7460167049067147
0.007933314781792407,0.5711986642890533,0.7462139242160968
0.007933314781792407,0.5870652938526382,0.7464262936887278
0.007933314781792407,0.6029319234162229,0.7466529581876962
0.007933314781792407,0.6187985529798078,0.7468930050150645
0.007933314781792407,0.6346651825433925,0.7471454675869816
0.007933314781792407,0.6505318121069774,0.7474093293257759
0.007933314781792407,0.6663984416705622,0.7476835277533533
0.007933314781792407,0.682265071234147,0.7479669587694228
0.007933314781792407,0.6981317007977318,0.7482584810973177
0.007933314781792407,0.7139983303613167,0.7485569208795148
0.007933314781792407,0.7298649599249014,0.7488610764043434
0.007933314781792407,0.7457315894884863,0.7491697229448548
0.007933314781792407,0.7615982190520711,0.7494816176903656
0.007933314781792407,0.7774648486156559,0.7497955047508166
0.007933314781792407,0.7933314781792408,0.7501101202137999
0.007933314781792407,0.8091981077428255,0.7504241972338876
0.007933314781792407,0.8250647373064104,0.7507364711337715
0.007933314781792407,0.8409313668699951,0.7510456844966719
0.007933314781792407,0.85679799643358,0.751350592229511
0.007933314781792407,0.8726646259971648,0.7516499665764642
0.007933314781792407,0.8885312555607496,0.7519426020626987
0.007933314781792407,0.9043978851243344,0.7522273203483952
0.007933314781792407,0.9202645146879193,0.7525029749735067
0.007933314781792407,0.936131144251504,0.7527684559741485
0.007933314781792407,0.9519977738150889,0.7530226943520308
0.007933314781792407,0.9678644033786736,0.7532646663789381
0.007933314781792407,0.9837310329422585,0.7534933977189201
0.007933314781792407,0.9995976625058433,0.7537079673516002
0.007933314781792407,1.0154642920694281,0.7539075112807984
0.007933314781792407,1.0313309216330129,0.75409122601354
0.007933314781792407,1.0471975511965979,0.7542583717954369
0.007933314781792407,1.0630641807601826,0.7544082755894185
0.007933314781792407,1.0789308103237674,0.7545403337858142
0.007933314781792407,1.0947974398873521,0.7546540146328761
0.007933314781792407,1.110664069450937,0.7547488603779562
0.007933314781792407,1.1265306990145219,0.754824489110714
0.007933314781792407,1.1423973285781066,0.7548805963009356
