g1,b1,exp_val
0.0,0.0,0.75
0.0,0.012616837966224068,0.75
0.0,0.025233675932448137,0.75
0.0,0.03785051389867221,0.75
0.0,0.05046735186489627,0.75
0.0,0.06308418983112034,0.75
0.0,0.07570102779734442,0.75
0.0,0.08831786576356848,0.75
0.0,0.10093470372979255,0.75
0.0,0.11355154169601661,0.75
0.0,0.12616837966224068,0.75
0.0,0.13878521762846474,0.75
0.0,0.15140205559468883,0.75
0.0,0.1640188935609129,0.75
0.0,0.17663573152713696,0.75
0.0,0.18925256949336103,0.75
0.0,0.2018694074595851,0.75
0.0,0.21448624542580916,0.75
0.0,0.22710308339203322,0.75
0.0,0.2397199213582573,0.75
0.0,0.25233675932448135,0.75
0.0,0.26495359729070544,0.75
0.0,0.2775704352569295,0.75
0.0,0.2901872732231536,0.75
0.0,0.30280411118937767,0.75
0.0,0.3154209491556017,0.75
0.0,0.3280377871218258,0.75
0.0,0.34065462508804983,0.75
0.0,0.3532714630542739,0.75
0.0,0.36588830102049796,0.75
0.0,0.37850513898672206,0.75
0.0,0.3911219769529461,0.75
0.0,0.4037388149191702,0.75
0.0,0.4163556528853943,0.75
0.0,0.4289724908516183,0.75
0.0,0.4415893288178424,0.75
0.0,0.45420616678406645,0.75
0.0,0.46682300475029054,0.75
0.0,0.4794398427165146,0.75
0.0,0.49205668068273867,0.75
0.0,0.5046735186489627,0.75
0.0,0.5172903566151869,0.75
0.0,0.5299071945814109,0.75
0.0,0.5425240325476349,0.75
0.0,0.555140870513859,0.75
0.0,0.5677577084800831,0.75
0.0,0.5803745464463071,0.75
0.0,0.5929913844125312,0.75
0.0,0.6056082223787553,0.75
0.0,0.6182250603449794,0.75
0.0,0.6308418983112034,0.75
0.0,0.6434587362774274,0.75
0.0,0.6560755742436516,0.75
0.0,0.6686924122098756,0.75
0.0,0.6813092501760997,0.75
0.0,0.6939260881423237,0.75
0.0,0.7065429261085479,0.75
0.0,0.7191597640747719,0.75
0.0,0.7317766020409959,0.75
0.0,0.7443934400072201,0.75
0.0,0.7570102779734441,0.75
0.0,0.7696271159396681,0.75
0.0,0.7822439539058922,0.75
0.0,0.7948607918721163,0.75
0.0,0.8074776298383404,0.75
0.0,0.8200944678045644,0.75
0.0,0.8327113057707886,0.75
0.0,0.8453281437370126,0.75
0.0,0.8579449817032366,0.75
0.0,0.8705618196694607,0.75
0.0,0.8831786576356848,0.75
0.0,0.8957954956019089,0.75
0.0,0.9084123335681329,0.75
0.0,0.921029171534357,0.75
0.0,0.9336460095005811,0.75
0.0,0.9462628474668051,0.75
0.0,0.9588796854330291,0.75
0.0,0.9714965233992533,0.75
0.0,0.9841133613654773,0.75
0.0,0.9967301993317014,0.75
0.0,1.0093470372979254,0.75
0.0,1.0219638752641496,0.75
0.0,1.0345807132303737,0.75
0.0,1.0471975511965976,0.75
0.0,1.0598143891628218,0.75
0.0,1.0724312271290457,0.75
0.0,1.0850480650952699,0.75
0.0,1.097664903061494,0.75
0.0,1.110281741027718,0.75
0.0,1.122898578993942,0.75
0.0,1.1355154169601662,0.75
0.0,1.1481322549263902,0.75
0.0,1.1607490928926143,0.75
0.0,1.1733659308588384,0.75
0.0,1.1859827688250624,0.75
0.0,1.1985996067912865,0.75
0.0,1.2112164447575107,0.75
0.0,1.2238332827237346,0.75
0.0,1.2364501206899587,0.75
0.0,1.2490669586561827,0.75
0.0,1.2616837966224068,0.75
0.0,1.274300634588631,0.75
0.0,1.286917472554855,0.75
0.0,1.299534310521079,0.75
0.0,1.3121511484873032,0.75
0.0,1.3247679864535271,0.75
0.0,1.3373848244197513,0.75
0.0,1.3500016623859754,0.75
0.0,1.3626185003521993,0.75
0.0,1.3752353383184235,0.75
0.0,1.3878521762846474,0.75
0.0,1.4004690142508716,0.75
0.0,1.4130858522170957,0.75
0.0,1.4257026901833196,0.75
0.0,1.4383195281495438,0.75
0.0,1.450936366115768,0.75
0.0,1.4635532040819919,0.75
0.0,1.476170042048216,0.75
0.0,1.4887868800144402,0.75
0.0,1.501403717980664,0.75
0.0,1.5140205559468882,0.75
0.0,1.5266373939131124,0.75
0.0,1.5392542318793363,0.75
0.0,1.5518710698455604,0.75
0.0,1.5644879078117844,0.75
0.0,1.5771047457780085,0.75
0.0,1.5897215837442327,0.75
0.0,1.6023384217104566,0.75
0.0,1.6149552596766807,0.75
0.0,1.627572097642905,0.75
0.0,1.6401889356091288,0.75
0.0,1.652805773575353,0.75
0.0,1.6654226115415771,0.75
0.0,1.678039449507801,0.75
0.0,1.6906562874740252,0.75
0.0,1.7032731254402491,0.75
0.0,1.7158899634064733,0.75
0.0,1.7285068013726974,0.75
0.0,1.7411236393389213,0.75
0.0,1.7537404773051455,0.75
0.0,1.7663573152713696,0.75
0.0,1.7789741532375936,0.75
0.0,1.7915909912038177,0.75
0.0,1.8042078291700419,0.75
0.0,1.8168246671362658,0.75
0.0,1.82944150510249,0.75
0.0,1.842058343068714,0.75
0.0,1.854675181034938,0.75
0.0,1.8672920190011622,0.75
0.0,1.879908856967386,0.75
0.0,1.8925256949336102,0.75
0.0,1.9051425328998344,0.75
0.0,1.9177593708660583,0.75
0.0,1.9303762088322824,0.75
0.0,1.9429930467985066,0.75
0.0,1.9556098847647305,0.75
0.0,1.9682267227309547,0.75
0.0,1.9808435606971788,0.75
0.0,1.9934603986634027,0.75
0.0,2.006077236629627,0.75
0.0,2.018694074595851,0.75
0.0,2.031310912562075,0.75
